SMILE,IP,EA,HomoLumoGap
C(CN=[N+]=[N-])[N],0.342679341,-0.063088178,-0.405767519
C(=O)C(=N)C(=O)N,0.360409407,0.017081452,-0.343327955
C(=N)[N-][O+]=O,0.388357407,0.062796128,-0.325561279
C(=O)(N(N)NO)O,0.346465316,-0.111504507,-0.457969823
C(=N)OOO,0.392675011,-0.076910011,-0.469585022
CN=C=[N+](C)[O-],0.282454177,-0.057312494,-0.339766671
C(=C(C(=O)O)N=N)O,0.323646113,-0.014737789,-0.338383902
[C-]#[N+]CC(=O)N=C=O,0.384243023,-0.016483518,-0.400726541
C#CC=CC(=O)N,0.333209646,-0.018070017,-0.351279663
C(=C=O)C(=O)N=O,0.35546499,0.054598333,-0.300866657
C(=O)NC(=N)C(=O)O,0.385343908,-0.004947992,-0.3902919
CCOC#CO,0.317247214,-0.133166843,-0.450414057
C(#N)N=NN=N,0.386091681,0.038777675,-0.347314006
CC(C#N)NN=O,0.355027456,-0.035254151,-0.390281607
C=C=N[N+]#[C-],0.370316086,-0.02596902,-0.396285106
C(#CN)C(=O)ON,0.323498734,-0.067488895,-0.390987629
C(C=N)OOC=O,0.361553195,-0.047458382,-0.409011577
C(#CO)C(=O)N,0.351203388,-0.086551858,-0.437755246
CC(=[O+][O-])OO,0.305452693,-0.049862112,-0.355314805
C=CC(=O)OOC#N,0.393843138,0.01401664,-0.379826498
C=C(C#N)OC#N,0.388301047,-0.002484793,-0.39078584
[C-]#[N+]N(N)[N+]#[C-],0.386388982,-0.060308912,-0.446697894
CC(=C)C(=O)[N+]#[C-],0.383703702,0.009868943,-0.373834759
CC(=NO)C=N,0.345383021,-0.034379736,-0.379762757
CC(=O)NNN=O,0.332268477,-0.042308201,-0.374576678
C(#N)C(C#N)(C#N)C(=O)N,0.402831161,-0.021252618,-0.424083779
C(=C=N)C(O)O,0.325180685,-0.084828534,-0.410009219
C(=O)OC(=O)C(O)O,0.378480289,-0.026180996,-0.404661285
C=C(C#N)OC=C=O,0.323484293,-0.002578879,-0.326063172
C(C(=O)NO)(O)O,0.35124529,-0.077958518,-0.429203808
C(#N)ONOC#N,0.421047306,-0.024901113,-0.445948419
C(=O)C=[O+]N=CC(=O)[O-],0.373342146,0.023669345,-0.349672801
CC(=C=O)C#C,0.303271046,-0.038735384,-0.34200643
C=C(C=N)O,0.324085034,-0.042977561,-0.367062595
CCC(=C=O)C#N,0.341307137,-0.015190879,-0.356498016
C(=NC(=O)NO)=O,0.353558195,-0.057983812,-0.411542007
